Wildforge planetary water audit
surface hours: 0
groundwater days: 0
atmosphere: 356224169157 HU, 0 salt mass
soil: 65567751968 HU, 0 salt mass
snow/ice reserve: 2413703488 HU, 0 salt mass
groundwater: 694969114024 HU, 124120214934464 salt mass
runoff: 0 HU, 0 salt mass
coarse surface: 2423767171456 HU, 533141456741664 salt mass
voxel surface: 0 HU, 0 salt mass
pending exchanges: 0 HU, 0 salt mass
portable: 0 HU, 0 salt mass
industrial: 0 HU, 0 salt mass
precipitated salt: 0
expected water: 3542941910093 HU
current water: 3542941910093 HU
unexplained water delta: 0 HU
expected salt: 657261671676128
current salt: 657261671676128
unexplained salt delta: 0
basins:
  The World Ocean: level 64.000, coarse 2422510405664 HU, committed 0 HU, salinity 220
  Hara River: level 0.000, coarse 146432 HU, committed 0 HU, salinity 12
  Noreth River: level 0.000, coarse 140160 HU, committed 0 HU, salinity 12
  Corun River: level 0.000, coarse 232320 HU, committed 0 HU, salinity 12
  Moreth River: level 0.000, coarse 187712 HU, committed 0 HU, salinity 11
  Harun River: level 0.000, coarse 132640 HU, committed 0 HU, salinity 63
  Lorora River: level 0.000, coarse 130560 HU, committed 0 HU, salinity 96
  Isa River: level 0.000, coarse 122464 HU, committed 0 HU, salinity 65
  Morain River: level 0.000, coarse 122048 HU, committed 0 HU, salinity 68
  Galeth River: level 0.000, coarse 257280 HU, committed 0 HU, salinity 20
  Orora River: level 0.000, coarse 121152 HU, committed 0 HU, salinity 64
  Corin River: level 0.000, coarse 126304 HU, committed 0 HU, salinity 65
  Haren River: level 0.000, coarse 232896 HU, committed 0 HU, salinity 15
  Varain River: level 0.000, coarse 653760 HU, committed 0 HU, salinity 32
  Lorith River: level 0.000, coarse 117984 HU, committed 0 HU, salinity 64
  Eshith River: level 0.000, coarse 124800 HU, committed 0 HU, salinity 68
  Haror River: level 0.000, coarse 122944 HU, committed 0 HU, salinity 66
  Harin River: level 0.000, coarse 146496 HU, committed 0 HU, salinity 12
  Selos River: level 0.000, coarse 119008 HU, committed 0 HU, salinity 64
  Isvale River: level 0.000, coarse 118848 HU, committed 0 HU, salinity 63
  Fenyr River: level 0.000, coarse 132256 HU, committed 0 HU, salinity 64
  Morin River: level 0.000, coarse 255200 HU, committed 0 HU, salinity 48
  Eshos River: level 0.000, coarse 201472 HU, committed 0 HU, salinity 17
  Corun River: level 0.000, coarse 125312 HU, committed 0 HU, salinity 64
  Kelvale River: level 0.000, coarse 131456 HU, committed 0 HU, salinity 62
  Kelesh River: level 0.000, coarse 126144 HU, committed 0 HU, salinity 63
  Alith River: level 0.000, coarse 163808 HU, committed 0 HU, salinity 57
  Barain River: level 0.000, coarse 126656 HU, committed 0 HU, salinity 96
  Coren River: level 0.000, coarse 159104 HU, committed 0 HU, salinity 18
  Haria River: level 0.000, coarse 121184 HU, committed 0 HU, salinity 64
  Haros River: level 0.000, coarse 168352 HU, committed 0 HU, salinity 78
  Lormere River: level 0.000, coarse 127232 HU, committed 0 HU, salinity 67
  Varos River: level 0.000, coarse 135232 HU, committed 0 HU, salinity 12
  Dunyr River: level 0.000, coarse 261184 HU, committed 0 HU, salinity 22
  Alun River: level 0.000, coarse 120096 HU, committed 0 HU, salinity 74
  Noryr River: level 0.000, coarse 154848 HU, committed 0 HU, salinity 21
  Duneth River: level 0.000, coarse 193792 HU, committed 0 HU, salinity 21
  Isor River: level 0.000, coarse 129952 HU, committed 0 HU, salinity 62
  Isos River: level 0.000, coarse 329312 HU, committed 0 HU, salinity 18
  Harin River: level 0.000, coarse 206208 HU, committed 0 HU, salinity 18
  Normere River: level 0.000, coarse 275488 HU, committed 0 HU, salinity 17
  Baria River: level 0.000, coarse 315648 HU, committed 0 HU, salinity 19
  Loresh River: level 0.000, coarse 294528 HU, committed 0 HU, salinity 17
  Norun River: level 0.000, coarse 368576 HU, committed 0 HU, salinity 18
  Aleth River: level 0.000, coarse 305312 HU, committed 0 HU, salinity 19
  Fenain River: level 0.000, coarse 280320 HU, committed 0 HU, salinity 17
  Corin River: level 0.000, coarse 308544 HU, committed 0 HU, salinity 19
  Oresh River: level 0.000, coarse 291808 HU, committed 0 HU, salinity 19
  Selor River: level 0.000, coarse 356608 HU, committed 0 HU, salinity 18
  Oryr River: level 0.000, coarse 505408 HU, committed 0 HU, salinity 19
  Norara River: level 0.000, coarse 278208 HU, committed 0 HU, salinity 19
  Dunia River: level 0.000, coarse 212160 HU, committed 0 HU, salinity 18
  Lora River: level 0.000, coarse 734720 HU, committed 0 HU, salinity 16
  Lorvale River: level 0.000, coarse 2420544 HU, committed 0 HU, salinity 59
  Normere River: level 0.000, coarse 135712 HU, committed 0 HU, salinity 17
  Oria River: level 0.000, coarse 139712 HU, committed 0 HU, salinity 11
  Alain River: level 0.000, coarse 117088 HU, committed 0 HU, salinity 64
  Alain River: level 0.000, coarse 127648 HU, committed 0 HU, salinity 62
  Isin River: level 0.000, coarse 182400 HU, committed 0 HU, salinity 16
  Norain River: level 0.000, coarse 192800 HU, committed 0 HU, salinity 18
  Galmere River: level 0.000, coarse 208768 HU, committed 0 HU, salinity 18
  Hareth River: level 0.000, coarse 2163040 HU, committed 0 HU, salinity 62
  Almere River: level 0.000, coarse 188288 HU, committed 0 HU, salinity 16
  Isesh River: level 0.000, coarse 202656 HU, committed 0 HU, salinity 18
  Barara River: level 0.000, coarse 465856 HU, committed 0 HU, salinity 40
  Noros River: level 0.000, coarse 143200 HU, committed 0 HU, salinity 16
  Haryr River: level 0.000, coarse 128288 HU, committed 0 HU, salinity 65
  Dunmere River: level 0.000, coarse 159744 HU, committed 0 HU, salinity 16
  Galeth River: level 0.000, coarse 155648 HU, committed 0 HU, salinity 16
  Kela River: level 0.000, coarse 864352 HU, committed 0 HU, salinity 28
  Isyr River: level 0.000, coarse 145376 HU, committed 0 HU, salinity 16
  Oren River: level 0.000, coarse 459488 HU, committed 0 HU, salinity 17
  Bara River: level 0.000, coarse 135840 HU, committed 0 HU, salinity 16
  Dunor River: level 0.000, coarse 107456 HU, committed 0 HU, salinity 67
  Alith River: level 0.000, coarse 165248 HU, committed 0 HU, salinity 20
  Noryr River: level 0.000, coarse 2692832 HU, committed 0 HU, salinity 23
  Alun River: level 0.000, coarse 295424 HU, committed 0 HU, salinity 21
  Eshora River: level 0.000, coarse 160288 HU, committed 0 HU, salinity 61
  Eshara River: level 0.000, coarse 3715552 HU, committed 0 HU, salinity 49
  Eshin River: level 0.000, coarse 232672 HU, committed 0 HU, salinity 21
  Baros River: level 0.000, coarse 235552 HU, committed 0 HU, salinity 21
  Coresh River: level 0.000, coarse 207392 HU, committed 0 HU, salinity 55
  Galin River: level 0.000, coarse 132416 HU, committed 0 HU, salinity 67
  Fenvale River: level 0.000, coarse 789728 HU, committed 0 HU, salinity 23
  Eshen River: level 0.000, coarse 127808 HU, committed 0 HU, salinity 67
  Duna River: level 0.000, coarse 1753376 HU, committed 0 HU, salinity 59
  Alith River: level 0.000, coarse 144992 HU, committed 0 HU, salinity 66
  Ora River: level 0.000, coarse 132288 HU, committed 0 HU, salinity 66
  Bareth River: level 0.000, coarse 125888 HU, committed 0 HU, salinity 67
  Iseth River: level 0.000, coarse 470592 HU, committed 0 HU, salinity 37
  Noror River: level 0.000, coarse 114176 HU, committed 0 HU, salinity 63
  Isora River: level 0.000, coarse 115104 HU, committed 0 HU, salinity 79
  Haror River: level 0.000, coarse 220032 HU, committed 0 HU, salinity 25
  Selvale River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Haresh River: level 0.000, coarse 3147488 HU, committed 0 HU, salinity 32
  Noresh River: level 0.000, coarse 108384 HU, committed 0 HU, salinity 60
  Barin River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Dunen River: level 0.000, coarse 341536 HU, committed 0 HU, salinity 29
  Selor River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Eshora River: level 0.000, coarse 8841408 HU, committed 0 HU, salinity 33
  Varor River: level 0.000, coarse 1184672 HU, committed 0 HU, salinity 21
  Coria River: level 0.000, coarse 116480 HU, committed 0 HU, salinity 57
  Varyr River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Vareth River: level 0.000, coarse 197248 HU, committed 0 HU, salinity 20
  Orvale River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Varun River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Morin River: level 0.000, coarse 309600 HU, committed 0 HU, salinity 23
  Varos River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Eshun River: level 0.000, coarse 40000 HU, committed 0 HU, salinity 96
  Fenith River: level 0.000, coarse 2601120 HU, committed 0 HU, salinity 37
  Selun River: level 0.000, coarse 20747072 HU, committed 0 HU, salinity 33
  Eshun River: level 0.000, coarse 60896 HU, committed 0 HU, salinity 96
  Alen River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Baresh River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Dunesh River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Ormere River: level 0.000, coarse 111488 HU, committed 0 HU, salinity 20
  Noria River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Barvale River: level 0.000, coarse 86016 HU, committed 0 HU, salinity 96
  Galeth River: level 0.000, coarse 363968 HU, committed 0 HU, salinity 26
  Varmere River: level 0.000, coarse 64480 HU, committed 0 HU, salinity 96
  Isia River: level 0.000, coarse 1561632 HU, committed 0 HU, salinity 29
  Varain River: level 0.000, coarse 88864 HU, committed 0 HU, salinity 96
  Varor River: level 0.000, coarse 99840 HU, committed 0 HU, salinity 20
  Alia River: level 0.000, coarse 97600 HU, committed 0 HU, salinity 21
  Galora River: level 0.000, coarse 252320 HU, committed 0 HU, salinity 43
  Morun River: level 0.000, coarse 3908384 HU, committed 0 HU, salinity 43
  Haros River: level 0.000, coarse 285088 HU, committed 0 HU, salinity 21
  Oresh River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Lorin River: level 0.000, coarse 3095232 HU, committed 0 HU, salinity 51
  Sela River: level 0.000, coarse 116256 HU, committed 0 HU, salinity 62
  Loren River: level 0.000, coarse 265280 HU, committed 0 HU, salinity 17
  Seleth River: level 0.000, coarse 131008 HU, committed 0 HU, salinity 70
  Varain River: level 0.000, coarse 197792 HU, committed 0 HU, salinity 56
  Corain River: level 0.000, coarse 135200 HU, committed 0 HU, salinity 21
  Alvale River: level 0.000, coarse 1516096 HU, committed 0 HU, salinity 44
  Dunvale River: level 0.000, coarse 714912 HU, committed 0 HU, salinity 25
  Isara River: level 0.000, coarse 55488 HU, committed 0 HU, salinity 96
  Keleth River: level 0.000, coarse 75680 HU, committed 0 HU, salinity 96
  Aleth River: level 0.000, coarse 62240 HU, committed 0 HU, salinity 96
  Norun River: level 0.000, coarse 445472 HU, committed 0 HU, salinity 23
  Oresh River: level 0.000, coarse 3997504 HU, committed 0 HU, salinity 25
  Morin River: level 0.000, coarse 682656 HU, committed 0 HU, salinity 23
  Lorain River: level 0.000, coarse 1940704 HU, committed 0 HU, salinity 62
  Galeth River: level 0.000, coarse 127936 HU, committed 0 HU, salinity 63
  Fenmere River: level 0.000, coarse 128544 HU, committed 0 HU, salinity 75
  Alia River: level 0.000, coarse 139200 HU, committed 0 HU, salinity 62
  Corun River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Orara River: level 0.000, coarse 159712 HU, committed 0 HU, salinity 21
  Varesh River: level 0.000, coarse 116896 HU, committed 0 HU, salinity 22
  Selen River: level 0.000, coarse 87744 HU, committed 0 HU, salinity 96
  Duna River: level 0.000, coarse 109920 HU, committed 0 HU, salinity 21
  Eshara River: level 0.000, coarse 97504 HU, committed 0 HU, salinity 22
  Moreth River: level 0.000, coarse 695360 HU, committed 0 HU, salinity 43
  Eshmere River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Isa River: level 0.000, coarse 335648 HU, committed 0 HU, salinity 36
  Alvale River: level 0.000, coarse 1326880 HU, committed 0 HU, salinity 36
  Norin River: level 0.000, coarse 128160 HU, committed 0 HU, salinity 21
  Loreth River: level 0.000, coarse 113440 HU, committed 0 HU, salinity 21
  Kelara River: level 0.000, coarse 112192 HU, committed 0 HU, salinity 21
  Galesh River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Kelin River: level 0.000, coarse 123456 HU, committed 0 HU, salinity 21
  Seleth River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Loresh River: level 0.000, coarse 119296 HU, committed 0 HU, salinity 20
  Dunor River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Baria River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Selia River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Orora River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Kelora River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Fenora River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Ora River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Alun River: level 0.000, coarse 206880 HU, committed 0 HU, salinity 44
  Moror River: level 0.000, coarse 752768 HU, committed 0 HU, salinity 13
  Moryr River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Barora River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Coren River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Harith River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Varvale River: level 0.000, coarse 546336 HU, committed 0 HU, salinity 15
  Isora River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Kelun River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Ala River: level 0.000, coarse 104320 HU, committed 0 HU, salinity 10
  Duneth River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Fenos River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Dunin River: level 0.000, coarse 191520 HU, committed 0 HU, salinity 20
  Kelith River: level 0.000, coarse 342080 HU, committed 0 HU, salinity 11
  Isin River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Kelen River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Noria River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Harvale River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Coria River: level 0.000, coarse 113184 HU, committed 0 HU, salinity 21
  Duna River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Eshor River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Loros River: level 0.000, coarse 457344 HU, committed 0 HU, salinity 16
  Orora River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Galith River: level 0.000, coarse 222784 HU, committed 0 HU, salinity 21
  Mormere River: level 0.000, coarse 132256 HU, committed 0 HU, salinity 96
  Kelia River: level 0.000, coarse 3375488 HU, committed 0 HU, salinity 36
  Corin River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Vareth River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Barora River: level 0.000, coarse 69440 HU, committed 0 HU, salinity 96
  Orora River: level 0.000, coarse 71968 HU, committed 0 HU, salinity 96
  Oror River: level 0.000, coarse 72928 HU, committed 0 HU, salinity 96
  Morain River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Selvale River: level 0.000, coarse 69184 HU, committed 0 HU, salinity 96
  Fenara River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Kelain River: level 0.000, coarse 69728 HU, committed 0 HU, salinity 96
  Alvale River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Varun River: level 0.000, coarse 0 HU, committed 0 HU, salinity 0
  Corara River: level 0.000, coarse 71840 HU, committed 0 HU, salinity 96
  Nora River: level 0.000, coarse 68704 HU, committed 0 HU, salinity 96
  Corith River: level 0.000, coarse 170528 HU, committed 0 HU, salinity 33
  Orin River: level 0.000, coarse 1347776 HU, committed 0 HU, salinity 37
  Eshun River: level 0.000, coarse 147136 HU, committed 0 HU, salinity 49
  Norara River: level 0.000, coarse 1014496 HU, committed 0 HU, salinity 41
  Loros River: level 0.000, coarse 80992 HU, committed 0 HU, salinity 12
  Dunith River: level 0.000, coarse 63648 HU, committed 0 HU, salinity 11
  Ormere River: level 0.000, coarse 60768 HU, committed 0 HU, salinity 20
  Selara River: level 0.000, coarse 112064 HU, committed 0 HU, salinity 59
  Selora River: level 0.000, coarse 158944 HU, committed 0 HU, salinity 52
  Selin River: level 0.000, coarse 112736 HU, committed 0 HU, salinity 64
  Selor River: level 0.000, coarse 336768 HU, committed 0 HU, salinity 14
  Loren River: level 0.000, coarse 197376 HU, committed 0 HU, salinity 50
  Dunesh River: level 0.000, coarse 110272 HU, committed 0 HU, salinity 64
  Moresh River: level 0.000, coarse 895808 HU, committed 0 HU, salinity 34
  Fenith River: level 0.000, coarse 220128 HU, committed 0 HU, salinity 17
  Bara River: level 0.000, coarse 205888 HU, committed 0 HU, salinity 11
  Baryr River: level 0.000, coarse 141920 HU, committed 0 HU, salinity 20
  Coren River: level 0.000, coarse 846144 HU, committed 0 HU, salinity 17
  Norora River: level 0.000, coarse 1549120 HU, committed 0 HU, salinity 19
  Moresh River: level 0.000, coarse 762560 HU, committed 0 HU, salinity 25
  Orora River: level 0.000, coarse 40926432 HU, committed 0 HU, salinity 60
  Lorora River: level 0.000, coarse 1925120 HU, committed 0 HU, salinity 27
  Barin River: level 0.000, coarse 104736 HU, committed 0 HU, salinity 72
  Isos River: level 0.000, coarse 170656 HU, committed 0 HU, salinity 22
  Isos River: level 0.000, coarse 205216 HU, committed 0 HU, salinity 16
  Lorun River: level 0.000, coarse 124896 HU, committed 0 HU, salinity 60
  Baresh River: level 0.000, coarse 7041440 HU, committed 0 HU, salinity 25
  Lorun River: level 0.000, coarse 119232 HU, committed 0 HU, salinity 63
  Alith River: level 0.000, coarse 122752 HU, committed 0 HU, salinity 62
  Noros River: level 0.000, coarse 101152 HU, committed 0 HU, salinity 76
  Selor River: level 0.000, coarse 125856 HU, committed 0 HU, salinity 64
  Galun River: level 0.000, coarse 128192 HU, committed 0 HU, salinity 63
  Galvale River: level 0.000, coarse 128224 HU, committed 0 HU, salinity 64
  Isain River: level 0.000, coarse 136096 HU, committed 0 HU, salinity 64
  Selin River: level 0.000, coarse 142176 HU, committed 0 HU, salinity 11
  Dunos River: level 0.000, coarse 291040 HU, committed 0 HU, salinity 15
  Harora River: level 0.000, coarse 267136 HU, committed 0 HU, salinity 45
  Dunos River: level 0.000, coarse 251072 HU, committed 0 HU, salinity 44
  Baresh River: level 0.000, coarse 281152 HU, committed 0 HU, salinity 44
  Morin River: level 0.000, coarse 308416 HU, committed 0 HU, salinity 15
  Morin River: level 0.000, coarse 2478208 HU, committed 0 HU, salinity 22
  Lorain River: level 0.000, coarse 296320 HU, committed 0 HU, salinity 44
  Noren River: level 0.000, coarse 326496 HU, committed 0 HU, salinity 14
  Baror River: level 0.000, coarse 309920 HU, committed 0 HU, salinity 11
  Moryr River: level 0.000, coarse 345504 HU, committed 0 HU, salinity 11
  Moros River: level 0.000, coarse 8699200 HU, committed 0 HU, salinity 27
  Harara River: level 0.000, coarse 312832 HU, committed 0 HU, salinity 11
  Norora River: level 0.000, coarse 110208 HU, committed 0 HU, salinity 66
  Galyr River: level 0.000, coarse 245120 HU, committed 0 HU, salinity 49
  Fenain River: level 0.000, coarse 312800 HU, committed 0 HU, salinity 14
  Galor River: level 0.000, coarse 254016 HU, committed 0 HU, salinity 49
  Alos River: level 0.000, coarse 320608 HU, committed 0 HU, salinity 14
  Nora River: level 0.000, coarse 108576 HU, committed 0 HU, salinity 75
  Norith River: level 0.000, coarse 241568 HU, committed 0 HU, salinity 11
  Varesh River: level 0.000, coarse 330112 HU, committed 0 HU, salinity 11
  Varith River: level 0.000, coarse 684832 HU, committed 0 HU, salinity 22
  Corun River: level 0.000, coarse 244384 HU, committed 0 HU, salinity 15
  Seleth River: level 0.000, coarse 219904 HU, committed 0 HU, salinity 15
  Moria River: level 0.000, coarse 245120 HU, committed 0 HU, salinity 11
  Coryr River: level 0.000, coarse 2014560 HU, committed 0 HU, salinity 22
  Eshesh River: level 0.000, coarse 218688 HU, committed 0 HU, salinity 15
  Selora River: level 0.000, coarse 6426560 HU, committed 0 HU, salinity 42
  Galvale River: level 0.000, coarse 146048 HU, committed 0 HU, salinity 65
  Galen River: level 0.000, coarse 156256 HU, committed 0 HU, salinity 11
  Orith River: level 0.000, coarse 143904 HU, committed 0 HU, salinity 11
  Dunia River: level 0.000, coarse 153120 HU, committed 0 HU, salinity 16
  Noresh River: level 0.000, coarse 275488 HU, committed 0 HU, salinity 15
  Selia River: level 0.000, coarse 257760 HU, committed 0 HU, salinity 12
  Hareth River: level 0.000, coarse 118720 HU, committed 0 HU, salinity 65
  Eshvale River: level 0.000, coarse 250336 HU, committed 0 HU, salinity 15
  Corvale River: level 0.000, coarse 117504 HU, committed 0 HU, salinity 68
  Haresh River: level 0.000, coarse 156160 HU, committed 0 HU, salinity 22
  Alesh River: level 0.000, coarse 645280 HU, committed 0 HU, salinity 36
  Loror River: level 0.000, coarse 112736 HU, committed 0 HU, salinity 68
  Alyr River: level 0.000, coarse 151744 HU, committed 0 HU, salinity 44
  Eshvale River: level 0.000, coarse 148256 HU, committed 0 HU, salinity 45
  Oren River: level 0.000, coarse 122272 HU, committed 0 HU, salinity 70
  Ormere River: level 0.000, coarse 224672 HU, committed 0 HU, salinity 65
  Oreth River: level 0.000, coarse 114688 HU, committed 0 HU, salinity 64
  Galia River: level 0.000, coarse 126912 HU, committed 0 HU, salinity 66
  Barun River: level 0.000, coarse 475168 HU, committed 0 HU, salinity 63
  Isesh River: level 0.000, coarse 125056 HU, committed 0 HU, salinity 64
  Selun River: level 0.000, coarse 128416 HU, committed 0 HU, salinity 66
  Varen River: level 0.000, coarse 124064 HU, committed 0 HU, salinity 63
  Noren River: level 0.000, coarse 128608 HU, committed 0 HU, salinity 67
  Norora River: level 0.000, coarse 90304 HU, committed 0 HU, salinity 96
  Esha River: level 0.000, coarse 132256 HU, committed 0 HU, salinity 21
  Varen River: level 0.000, coarse 132960 HU, committed 0 HU, salinity 63
  Oros River: level 0.000, coarse 94304 HU, committed 0 HU, salinity 96
  Noryr River: level 0.000, coarse 133152 HU, committed 0 HU, salinity 21
  Mora River: level 0.000, coarse 4271968 HU, committed 0 HU, salinity 45
  Isesh River: level 0.000, coarse 114400 HU, committed 0 HU, salinity 65
  Eshun River: level 0.000, coarse 137760 HU, committed 0 HU, salinity 21
  Eshesh River: level 0.000, coarse 118624 HU, committed 0 HU, salinity 68
  Alor River: level 0.000, coarse 112512 HU, committed 0 HU, salinity 96
  Isos River: level 0.000, coarse 223776 HU, committed 0 HU, salinity 18
  Ormere River: level 0.000, coarse 116160 HU, committed 0 HU, salinity 64
  Alith River: level 0.000, coarse 91456 HU, committed 0 HU, salinity 96
  Barara River: level 0.000, coarse 175552 HU, committed 0 HU, salinity 96
  Varesh River: level 0.000, coarse 117056 HU, committed 0 HU, salinity 65
  Corvale River: level 0.000, coarse 120640 HU, committed 0 HU, salinity 72
  Dunin River: level 0.000, coarse 129536 HU, committed 0 HU, salinity 67
  Aleth River: level 0.000, coarse 140352 HU, committed 0 HU, salinity 67
  Corith River: level 0.000, coarse 120832 HU, committed 0 HU, salinity 96
  Fena River: level 0.000, coarse 744416 HU, committed 0 HU, salinity 30
  Loror River: level 0.000, coarse 121984 HU, committed 0 HU, salinity 96
  Morvale River: level 0.000, coarse 129440 HU, committed 0 HU, salinity 96
  Fenesh River: level 0.000, coarse 129696 HU, committed 0 HU, salinity 67
  Alos River: level 0.000, coarse 117792 HU, committed 0 HU, salinity 68
  Barain River: level 0.000, coarse 277120 HU, committed 0 HU, salinity 48
  Fenvale River: level 0.000, coarse 116832 HU, committed 0 HU, salinity 68
  Alvale River: level 0.000, coarse 136832 HU, committed 0 HU, salinity 63
  Feneth River: level 0.000, coarse 112832 HU, committed 0 HU, salinity 78
  Eshara River: level 0.000, coarse 129152 HU, committed 0 HU, salinity 63
  Kelara River: level 0.000, coarse 111808 HU, committed 0 HU, salinity 71
  Isen River: level 0.000, coarse 128992 HU, committed 0 HU, salinity 63
  Duna River: level 0.000, coarse 126720 HU, committed 0 HU, salinity 64
  Kelyr River: level 0.000, coarse 132064 HU, committed 0 HU, salinity 63
  Fenun River: level 0.000, coarse 477184 HU, committed 0 HU, salinity 51
  Dunmere River: level 0.000, coarse 128192 HU, committed 0 HU, salinity 63
  Eshith River: level 0.000, coarse 101248 HU, committed 0 HU, salinity 73
  Alen River: level 0.000, coarse 128896 HU, committed 0 HU, salinity 64
  Baren River: level 0.000, coarse 118464 HU, committed 0 HU, salinity 69
  Orith River: level 0.000, coarse 1319680 HU, committed 0 HU, salinity 63
  Oresh River: level 0.000, coarse 127488 HU, committed 0 HU, salinity 63
  Galvale River: level 0.000, coarse 130496 HU, committed 0 HU, salinity 64
  Dunith River: level 0.000, coarse 121792 HU, committed 0 HU, salinity 64
  Selin River: level 0.000, coarse 112928 HU, committed 0 HU, salinity 68
  Vara River: level 0.000, coarse 123296 HU, committed 0 HU, salinity 63
  Isvale River: level 0.000, coarse 181664 HU, committed 0 HU, salinity 23
  Kelvale River: level 0.000, coarse 119808 HU, committed 0 HU, salinity 65
  Dunvale River: level 0.000, coarse 115712 HU, committed 0 HU, salinity 64
  Kelin River: level 0.000, coarse 197536 HU, committed 0 HU, salinity 60
  Orara River: level 0.000, coarse 122784 HU, committed 0 HU, salinity 68
  Loros River: level 0.000, coarse 140608 HU, committed 0 HU, salinity 64
  Harvale River: level 0.000, coarse 108544 HU, committed 0 HU, salinity 58
  Morara River: level 0.000, coarse 115488 HU, committed 0 HU, salinity 65
  Dunesh River: level 0.000, coarse 590912 HU, committed 0 HU, salinity 38
  Galain River: level 0.000, coarse 304928 HU, committed 0 HU, salinity 22
  Galos River: level 0.000, coarse 113280 HU, committed 0 HU, salinity 68
  Isvale River: level 0.000, coarse 119456 HU, committed 0 HU, salinity 65
  Moryr River: level 0.000, coarse 116832 HU, committed 0 HU, salinity 64
  Harun River: level 0.000, coarse 116896 HU, committed 0 HU, salinity 64
  Bareth River: level 0.000, coarse 156960 HU, committed 0 HU, salinity 18
  Esha River: level 0.000, coarse 115648 HU, committed 0 HU, salinity 69
  Oros River: level 0.000, coarse 119072 HU, committed 0 HU, salinity 65
  Kelyr River: level 0.000, coarse 224768 HU, committed 0 HU, salinity 22
  Moria River: level 0.000, coarse 128960 HU, committed 0 HU, salinity 64
  Harara River: level 0.000, coarse 116544 HU, committed 0 HU, salinity 64
  Varesh River: level 0.000, coarse 120384 HU, committed 0 HU, salinity 21
  Corvale River: level 0.000, coarse 172320 HU, committed 0 HU, salinity 22
  Aleth River: level 0.000, coarse 134432 HU, committed 0 HU, salinity 22
  Fenesh River: level 0.000, coarse 131584 HU, committed 0 HU, salinity 22
  Isun River: level 0.000, coarse 213440 HU, committed 0 HU, salinity 53
  Morun River: level 0.000, coarse 186144 HU, committed 0 HU, salinity 96
  Fenesh River: level 0.000, coarse 173280 HU, committed 0 HU, salinity 22
  Loreth River: level 0.000, coarse 182944 HU, committed 0 HU, salinity 12
  Alyr River: level 0.000, coarse 105536 HU, committed 0 HU, salinity 66
  Seleth River: level 0.000, coarse 134976 HU, committed 0 HU, salinity 96
  Lorin River: level 0.000, coarse 129216 HU, committed 0 HU, salinity 67
  Noror River: level 0.000, coarse 124416 HU, committed 0 HU, salinity 21
  Baresh River: level 0.000, coarse 152160 HU, committed 0 HU, salinity 54
  Loresh River: level 0.000, coarse 209184 HU, committed 0 HU, salinity 21
  Fenmere River: level 0.000, coarse 155040 HU, committed 0 HU, salinity 53
  Fenia River: level 0.000, coarse 141728 HU, committed 0 HU, salinity 21
